Time,Stim Cre,Rec Cre,Stim Cre NMDA,Rec Cre NMDA,Stim KO,Rec KO,Stim KO NMDA,Rec KO NMDA
85.5,-70.92721558,-59.9715271,-70.17848969,-51.57603455,-98.32688904,-40.54297638,-115.1028519,-39.51768494
86,-70.92464447,-59.96920013,-70.17450714,-51.56541824,-98.33731079,-40.54669571,-115.1170044,-39.51338577
86.5,-70.92153168,-59.97598648,-70.15327454,-51.56674576,-98.3328476,-40.5563736,-115.1359482,-39.51338577
87,-70.91381073,-59.97159195,-70.16522217,-51.59195709,-98.34326935,-40.55786133,-115.1526871,-39.5151062
87.5,-70.92024231,-59.97871399,-70.14797211,-51.58930206,-98.35443115,-40.56977081,-115.1673203,-39.51080704
88,-70.91832733,-59.97434998,-70.13204956,-51.5826683,-98.33731079,-40.57423782,-115.1789169,-39.50908661
88.5,-70.91919708,-59.96876144,-70.12541199,-51.60655212,-98.33879852,-40.58689117,-115.185791,-39.50263977
89,-70.9201355,-59.97492218,-70.10816193,-51.59062958,-98.34922028,-40.58316803,-115.1948471,-39.50392914
89.5,-70.90909576,-59.97271347,-70.09754944,-51.60787964,-98.33358765,-40.58837891,-115.1956863,-39.50693893
90,-70.91403198,-59.97300339,-70.08959198,-51.59991837,-98.32317352,-40.58019257,-115.1939468,-39.50263977
90.5,-70.90210724,-59.98043442,-70.07234192,-51.60256958,-98.31945038,-40.58912277,-115.2034225,-39.5043602
91,-70.90104675,-59.97452545,-70.06437683,-51.60389709,-98.31275177,-40.58986664,-115.2120209,-39.50350189
91.5,-70.89987183,-59.97650909,-70.04049683,-51.59593582,-98.31126404,-40.59210205,-115.2133026,-39.50737
92,-70.88885498,-59.9734993,-70.04712677,-51.62247467,-98.29563141,-40.5839119,-115.2326431,-39.50693893
92.5,-70.90377808,-59.97765732,-70.02590179,-51.60920334,-98.29488373,-40.58837891,-115.238678,-39.50737
93,-70.88506317,-59.98180008,-70.00068665,-51.59991837,-98.3000946,-40.60996628,-115.238678,-39.50479126
93.5,-70.88870239,-59.98157883,-69.99803925,-51.63574219,-98.29935455,-40.59730911,-115.2593155,-39.50092316
94,-70.88424683,-59.97423172,-69.9821167,-51.6370697,-98.293396,-40.606987,-115.2636032,-39.49404526
94.5,-70.87553406,-59.97732544,-69.98078918,-51.64768219,-98.30977631,-40.61592102,-115.2679214,-39.4936142
95,-70.86936188,-59.97966385,-69.96486664,-51.6490097,-98.32168579,-40.61294174,-115.2606049,-39.49232483
95.5,-70.86837006,-59.97242355,-69.96088409,-51.66891479,-98.33358765,-40.61071014,-115.2657623,-39.49318314
96,-70.86751556,-59.97521973,-69.95292664,-51.67554855,-98.33805847,-40.60996628,-115.2614517,-39.49103546
